,date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,Week,Day,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,is_event_day
17,2011-02-15,11103,5,3,1,0,d_18,0,0,0,0,0,1,1,6,14,46,False,False,False,False,False,False,1297728000,False
18,2011-02-16,11103,6,4,1,0,d_19,0,0,0,0,0,0,0,6,15,47,False,False,False,False,False,False,1297814400,False
19,2011-02-17,11103,4,5,1,0,d_20,0,0,0,0,0,0,0,6,16,48,False,False,False,False,False,False,1297900800,False
20,2011-02-18,11103,0,6,1,0,d_21,0,0,0,0,0,0,0,6,17,49,False,False,False,False,False,False,1297987200,False
21,2011-02-19,11104,2,0,1,0,d_22,0,0,0,0,0,0,0,6,18,50,False,False,False,False,False,False,1298073600,False
22,2011-02-20,11104,3,1,1,0,d_23,0,0,0,0,0,0,0,6,19,51,False,False,False,False,False,False,1298160000,False
23,2011-02-21,11104,1,2,1,0,d_24,23,2,0,0,0,0,0,7,20,52,False,False,False,False,False,False,1298246400,False
24,2011-02-22,11104,5,3,1,0,d_25,0,0,0,0,0,0,0,7,21,53,False,False,False,False,False,False,1298332800,False
25,2011-02-23,11104,6,4,1,0,d_26,0,0,0,0,0,0,0,7,22,54,False,False,False,False,False,False,1298419200,False
26,2011-02-24,11104,4,5,1,0,d_27,0,0,0,0,0,0,0,7,23,55,False,False,False,False,False,False,1298505600,False
27,2011-02-25,11104,0,6,1,0,d_28,0,0,0,0,0,0,0,7,24,56,False,False,False,False,False,False,1298592000,False
28,2011-02-26,11105,2,0,1,0,d_29,0,0,0,0,0,0,0,7,25,57,False,False,False,False,False,False,1298678400,False
29,2011-02-27,11105,3,1,1,0,d_30,0,0,0,0,0,0,0,7,26,58,False,False,False,False,False,False,1298764800,False
30,2011-02-28,11105,1,2,1,0,d_31,0,0,0,0,0,0,0,8,27,59,True,False,False,False,False,False,1298851200,False
31,2011-03-01,11105,5,3,2,0,d_32,0,0,0,0,1,1,0,8,0,60,False,True,False,False,False,False,1298937600,False
32,2011-03-02,11105,6,4,2,0,d_33,0,0,0,0,1,0,1,8,1,61,False,False,False,False,False,False,1299024000,False
33,2011-03-03,11105,4,5,2,0,d_34,0,0,0,0,1,1,1,8,2,62,False,False,False,False,False,False,1299110400,False
34,2011-03-04,11105,0,6,2,0,d_35,0,0,0,0,1,0,0,8,3,63,False,False,False,False,False,False,1299196800,False
35,2011-03-05,11106,2,0,2,0,d_36,0,0,0,0,1,1,1,8,4,64,False,False,False,False,False,False,1299283200,False
36,2011-03-06,11106,3,1,2,0,d_37,0,0,0,0,1,1,1,8,5,65,False,False,False,False,False,False,1299369600,False
37,2011-03-07,11106,1,2,2,0,d_38,0,0,0,0,1,1,0,9,6,66,False,False,False,False,False,False,1299456000,False
38,2011-03-08,11106,5,3,2,0,d_39,0,0,0,0,1,0,1,9,7,67,False,False,False,False,False,False,1299542400,False
39,2011-03-09,11106,6,4,2,0,d_40,12,3,0,0,1,1,1,9,8,68,False,False,False,False,False,False,1299628800,False
40,2011-03-10,11106,4,5,2,0,d_41,0,0,0,0,1,0,0,9,9,69,False,False,False,False,False,False,1299715200,False
41,2011-03-11,11106,0,6,2,0,d_42,0,0,0,0,0,1,1,9,10,70,False,False,False,False,False,False,1299801600,False
42,2011-03-12,11107,2,0,2,0,d_43,0,0,0,0,0,1,1,9,11,71,False,False,False,False,False,False,1299888000,False
43,2011-03-13,11107,3,1,2,0,d_44,0,0,0,0,0,1,0,9,12,72,False,False,False,False,False,False,1299974400,False
44,2011-03-14,11107,1,2,2,0,d_45,0,0,0,0,0,0,1,10,13,73,False,False,False,False,False,False,1300060800,False
45,2011-03-15,11107,5,3,2,0,d_46,0,0,0,0,0,1,1,10,14,74,False,False,False,False,False,False,1300147200,False
46,2011-03-16,11107,6,4,2,0,d_47,13,3,0,0,0,0,0,10,15,75,False,False,False,False,False,False,1300233600,False
47,2011-03-17,11107,4,5,2,0,d_48,26,1,0,0,0,0,0,10,16,76,False,False,False,False,False,False,1300320000,False
48,2011-03-18,11107,0,6,2,0,d_49,0,0,0,0,0,0,0,10,17,77,False,False,False,False,False,False,1300406400,False
49,2011-03-19,11108,2,0,2,0,d_50,0,0,0,0,0,0,0,10,18,78,False,False,False,False,False,False,1300492800,False
50,2011-03-20,11108,3,1,2,0,d_51,24,3,0,0,0,0,0,10,19,79,False,False,False,False,False,False,1300579200,False
51,2011-03-21,11108,1,2,2,0,d_52,0,0,0,0,0,0,0,11,20,80,False,False,False,False,False,False,1300665600,False
52,2011-03-22,11108,5,3,2,0,d_53,0,0,0,0,0,0,0,11,21,81,False,False,False,False,False,False,1300752000,False
53,2011-03-23,11108,6,4,2,0,d_54,0,0,0,0,0,0,0,11,22,82,False,False,False,False,False,False,1300838400,False
54,2011-03-24,11108,4,5,2,0,d_55,0,0,0,0,0,0,0,11,23,83,False,False,False,False,False,False,1300924800,False
55,2011-03-25,11108,0,6,2,0,d_56,0,0,0,0,0,0,0,11,24,84,False,False,False,False,False,False,1301011200,False
56,2011-03-26,11109,2,0,2,0,d_57,0,0,0,0,0,0,0,11,25,85,False,False,False,False,False,False,1301097600,False
57,2011-03-27,11109,3,1,2,0,d_58,0,0,0,0,0,0,0,11,26,86,False,False,False,False,False,False,1301184000,False
58,2011-03-28,11109,1,2,2,0,d_59,0,0,0,0,0,0,0,12,27,87,False,False,False,False,False,False,1301270400,False
59,2011-03-29,11109,5,3,2,0,d_60,0,0,0,0,0,0,0,12,28,88,False,False,False,False,False,False,1301356800,False
60,2011-03-30,11109,6,4,2,0,d_61,0,0,0,0,0,0,0,12,29,89,False,False,False,False,False,False,1301443200,False
61,2011-03-31,11109,4,5,2,0,d_62,0,0,0,0,0,0,0,12,30,90,True,False,True,False,False,False,1301529600,False
62,2011-04-01,11109,0,6,3,0,d_63,0,0,0,0,1,1,0,12,0,91,False,True,False,True,False,False,1301616000,False
63,2011-04-02,11110,2,0,3,0,d_64,0,0,0,0,1,0,1,12,1,92,False,False,False,False,False,False,1301702400,False
64,2011-04-03,11110,3,1,3,0,d_65,0,0,0,0,1,1,1,12,2,93,False,False,False,False,False,False,1301788800,False
65,2011-04-04,11110,1,2,3,0,d_66,0,0,0,0,1,0,0,13,3,94,False,False,False,False,False,False,1301875200,False
66,2011-04-05,11110,5,3,3,0,d_67,0,0,0,0,1,1,1,13,4,95,False,False,False,False,False,False,1301961600,False
67,2011-04-06,11110,6,4,3,0,d_68,0,0,0,0,1,1,1,13,5,96,False,False,False,False,False,False,1302048000,False
68,2011-04-07,11110,4,5,3,0,d_69,0,0,0,0,1,1,0,13,6,97,False,False,False,False,False,False,1302134400,False
69,2011-04-08,11110,0,6,3,0,d_70,0,0,0,0,1,0,1,13,7,98,False,False,False,False,False,False,1302220800,False
70,2011-04-09,11111,2,0,3,0,d_71,0,0,0,0,1,1,1,13,8,99,False,False,False,False,False,False,1302307200,False
71,2011-04-10,11111,3,1,3,0,d_72,0,0,0,0,1,0,0,13,9,100,False,False,False,False,False,False,1302393600,False
72,2011-04-11,11111,1,2,3,0,d_73,0,0,0,0,0,1,1,14,10,101,False,False,False,False,False,False,1302480000,False
73,2011-04-12,11111,5,3,3,0,d_74,0,0,0,0,0,1,1,14,11,102,False,False,False,False,False,False,1302566400,False
74,2011-04-13,11111,6,4,3,0,d_75,0,0,0,0,0,1,0,14,12,103,False,False,False,False,False,False,1302652800,False
75,2011-04-14,11111,4,5,3,0,d_76,0,0,0,0,0,0,1,14,13,104,False,False,False,False,False,False,1302739200,False
76,2011-04-15,11111,0,6,3,0,d_77,0,0,0,0,0,1,1,14,14,105,False,False,False,False,False,False,1302825600,False
77,2011-04-16,11112,2,0,3,0,d_78,0,0,0,0,0,0,0,14,15,106,False,False,False,False,False,False,1302912000,False
78,2011-04-17,11112,3,1,3,0,d_79,0,0,0,0,0,0,0,14,16,107,False,False,False,False,False,False,1302998400,False
79,2011-04-18,11112,1,2,3,0,d_80,0,0,0,0,0,0,0,15,17,108,False,False,False,False,False,False,1303084800,False
80,2011-04-19,11112,5,3,3,0,d_81,0,0,0,0,0,0,0,15,18,109,False,False,False,False,False,False,1303171200,False
81,2011-04-20,11112,6,4,3,0,d_82,0,0,0,0,0,0,0,15,19,110,False,False,False,False,False,False,1303257600,False
82,2011-04-21,11112,4,5,3,0,d_83,0,0,0,0,0,0,0,15,20,111,False,False,False,False,False,False,1303344000,False
83,2011-04-22,11112,0,6,3,0,d_84,0,0,0,0,0,0,0,15,21,112,False,False,False,False,False,False,1303430400,False
84,2011-04-23,11113,2,0,3,0,d_85,0,0,0,0,0,0,0,15,22,113,False,False,False,False,False,False,1303516800,False
85,2011-04-24,11113,3,1,3,0,d_86,21,3,2,1,0,0,0,15,23,114,False,False,False,False,False,False,1303603200,True
86,2011-04-25,11113,1,2,3,0,d_87,0,0,0,0,0,0,0,16,24,115,False,False,False,False,False,False,1303689600,False
87,2011-04-26,11113,5,3,3,0,d_88,22,3,0,0,0,0,0,16,25,116,False,False,False,False,False,False,1303776000,False
88,2011-04-27,11113,6,4,3,0,d_89,0,0,0,0,0,0,0,16,26,117,False,False,False,False,False,False,1303862400,False
89,2011-04-28,11113,4,5,3,0,d_90,0,0,0,0,0,0,0,16,27,118,False,False,False,False,False,False,1303948800,False
90,2011-04-29,11113,0,6,3,0,d_91,0,0,0,0,0,0,0,16,28,119,False,False,False,False,False,False,1304035200,False
91,2011-04-30,11114,2,0,3,0,d_92,0,0,0,0,0,0,0,16,29,120,True,False,False,False,False,False,1304121600,False
92,2011-05-01,11114,3,1,4,0,d_93,0,0,0,0,1,1,0,16,0,121,False,True,False,False,False,False,1304208000,False
93,2011-05-02,11114,1,2,4,0,d_94,0,0,0,0,1,0,1,17,1,122,False,False,False,False,False,False,1304294400,False
94,2011-05-03,11114,5,3,4,0,d_95,0,0,0,0,1,1,1,17,2,123,False,False,False,False,False,False,1304380800,False
95,2011-05-04,11114,6,4,4,0,d_96,0,0,0,0,1,0,0,17,3,124,False,False,False,False,False,False,1304467200,False
96,2011-05-05,11114,4,5,4,0,d_97,3,1,0,0,1,1,1,17,4,125,False,False,False,False,False,False,1304553600,False
97,2011-05-06,11114,0,6,4,0,d_98,0,0,0,0,1,1,1,17,5,126,False,False,False,False,False,False,1304640000,False
98,2011-05-07,11115,2,0,4,0,d_99,0,0,0,0,1,1,0,17,6,127,False,False,False,False,False,False,1304726400,False
99,2011-05-08,11115,3,1,4,0,d_100,16,1,0,0,1,0,1,17,7,128,False,False,False,False,False,False,1304812800,False
100,2011-05-09,11115,1,2,4,0,d_101,0,0,0,0,1,1,1,18,8,129,False,False,False,False,False,False,1304899200,False
101,2011-05-10,11115,5,3,4,0,d_102,0,0,0,0,1,0,0,18,9,130,False,False,False,False,False,False,1304985600,False
102,2011-05-11,11115,6,4,4,0,d_103,0,0,0,0,0,1,1,18,10,131,False,False,False,False,False,False,1305072000,False
103,2011-05-12,11115,4,5,4,0,d_104,0,0,0,0,0,1,1,18,11,132,False,False,False,False,False,False,1305158400,False
104,2011-05-13,11115,0,6,4,0,d_105,0,0,0,0,0,1,0,18,12,133,False,False,False,False,False,False,1305244800,False
105,2011-05-14,11116,2,0,4,0,d_106,0,0,0,0,0,0,1,18,13,134,False,False,False,False,False,False,1305331200,False
106,2011-05-15,11116,3,1,4,0,d_107,0,0,0,0,0,1,1,18,14,135,False,False,False,False,False,False,1305417600,False
107,2011-05-16,11116,1,2,4,0,d_108,0,0,0,0,0,0,0,19,15,136,False,False,False,False,False,False,1305504000,False
108,2011-05-17,11116,5,3,4,0,d_109,0,0,0,0,0,0,0,19,16,137,False,False,False,False,False,False,1305590400,False
109,2011-05-18,11116,6,4,4,0,d_110,0,0,0,0,0,0,0,19,17,138,False,False,False,False,False,False,1305676800,False
110,2011-05-19,11116,4,5,4,0,d_111,0,0,0,0,0,0,0,19,18,139,False,False,False,False,False,False,1305763200,False
111,2011-05-20,11116,0,6,4,0,d_112,0,0,0,0,0,0,0,19,19,140,False,False,False,False,False,False,1305849600,False
112,2011-05-21,11117,2,0,4,0,d_113,0,0,0,0,0,0,0,19,20,141,False,False,False,False,False,False,1305936000,False
113,2011-05-22,11117,3,1,4,0,d_114,0,0,0,0,0,0,0,19,21,142,False,False,False,False,False,False,1306022400,False
114,2011-05-23,11117,1,2,4,0,d_115,0,0,0,0,0,0,0,20,22,143,False,False,False,False,False,False,1306108800,False
115,2011-05-24,11117,5,3,4,0,d_116,0,0,0,0,0,0,0,20,23,144,False,False,False,False,False,False,1306195200,False
116,2011-05-25,11117,6,4,4,0,d_117,0,0,0,0,0,0,0,20,24,145,False,False,False,False,False,False,1306281600,False
117,2011-05-26,11117,4,5,4,0,d_118,0,0,0,0,0,0,0,20,25,146,False,False,False,False,False,False,1306368000,False
118,2011-05-27,11117,0,6,4,0,d_119,0,0,0,0,0,0,0,20,26,147,False,False,False,False,False,False,1306454400,False
119,2011-05-28,11118,2,0,4,0,d_120,0,0,0,0,0,0,0,20,27,148,False,False,False,False,False,False,1306540800,False
120,2011-05-29,11118,3,1,4,0,d_121,0,0,0,0,0,0,0,20,28,149,False,False,False,False,False,False,1306627200,False
121,2011-05-30,11118,1,2,4,0,d_122,15,2,0,0,0,0,0,21,29,150,False,False,False,False,False,False,1306713600,False
122,2011-05-31,11118,5,3,4,0,d_123,18,4,0,0,0,0,0,21,30,151,True,False,False,False,False,False,1306800000,False
123,2011-06-01,11118,6,4,5,0,d_124,0,0,0,0,1,1,0,21,0,152,False,True,False,False,False,False,1306886400,False
124,2011-06-02,11118,4,5,5,0,d_125,0,0,0,0,1,0,1,21,1,153,False,False,False,False,False,False,1306972800,False
125,2011-06-03,11118,0,6,5,0,d_126,0,0,0,0,1,1,1,21,2,154,False,False,False,False,False,False,1307059200,False
126,2011-06-04,11119,2,0,5,0,d_127,0,0,0,0,1,0,0,21,3,155,False,False,False,False,False,False,1307145600,False
127,2011-06-05,11119,3,1,5,0,d_128,0,0,0,0,1,1,1,21,4,156,False,False,False,False,False,False,1307232000,False
128,2011-06-06,11119,1,2,5,0,d_129,0,0,0,0,1,1,1,22,5,157,False,False,False,False,False,False,1307318400,False
129,2011-06-07,11119,5,3,5,0,d_130,0,0,0,0,1,1,0,22,6,158,False,False,False,False,False,False,1307404800,False
130,2011-06-08,11119,6,4,5,0,d_131,0,0,0,0,1,0,1,22,7,159,False,False,False,False,False,False,1307491200,False
131,2011-06-09,11119,4,5,5,0,d_132,0,0,0,0,1,1,1,22,8,160,False,False,False,False,False,False,1307577600,False
132,2011-06-10,11119,0,6,5,0,d_133,0,0,0,0,1,0,0,22,9,161,False,False,False,False,False,False,1307664000,False
133,2011-06-11,11120,2,0,5,0,d_134,0,0,0,0,0,1,1,22,10,162,False,False,False,False,False,False,1307750400,False
134,2011-06-12,11120,3,1,5,0,d_135,17,4,0,0,0,1,1,22,11,163,False,False,False,False,False,False,1307836800,False
135,2011-06-13,11120,1,2,5,0,d_136,0,0,0,0,0,1,0,23,12,164,False,False,False,False,False,False,1307923200,False
136,2011-06-14,11120,5,3,5,0,d_137,0,0,0,0,0,0,1,23,13,165,False,False,False,False,False,False,1308009600,False
137,2011-06-15,11120,6,4,5,0,d_138,0,0,0,0,0,1,1,23,14,166,False,False,False,False,False,False,1308096000,False
138,2011-06-16,11120,4,5,5,0,d_139,0,0,0,0,0,0,0,23,15,167,False,False,False,False,False,False,1308182400,False
139,2011-06-17,11120,0,6,5,0,d_140,0,0,0,0,0,0,0,23,16,168,False,False,False,False,False,False,1308268800,False
140,2011-06-18,11121,2,0,5,0,d_141,0,0,0,0,0,0,0,23,17,169,False,False,False,False,False,False,1308355200,False
141,2011-06-19,11121,3,1,5,0,d_142,8,1,0,0,0,0,0,23,18,170,False,False,False,False,False,False,1308441600,False
142,2011-06-20,11121,1,2,5,0,d_143,0,0,0,0,0,0,0,24,19,171,False,False,False,False,False,False,1308528000,False
143,2011-06-21,11121,5,3,5,0,d_144,0,0,0,0,0,0,0,24,20,172,False,False,False,False,False,False,1308614400,False
144,2011-06-22,11121,6,4,5,0,d_145,0,0,0,0,0,0,0,24,21,173,False,False,False,False,False,False,1308700800,False
145,2011-06-23,11121,4,5,5,0,d_146,0,0,0,0,0,0,0,24,22,174,False,False,False,False,False,False,1308787200,False
146,2011-06-24,11121,0,6,5,0,d_147,0,0,0,0,0,0,0,24,23,175,False,False,False,False,False,False,1308873600,False
147,2011-06-25,11122,2,0,5,0,d_148,0,0,0,0,0,0,0,24,24,176,False,False,False,False,False,False,1308960000,False
148,2011-06-26,11122,3,1,5,0,d_149,0,0,0,0,0,0,0,24,25,177,False,False,False,False,False,False,1309046400,False
149,2011-06-27,11122,1,2,5,0,d_150,0,0,0,0,0,0,0,25,26,178,False,False,False,False,False,False,1309132800,False
150,2011-06-28,11122,5,3,5,0,d_151,0,0,0,0,0,0,0,25,27,179,False,False,False,False,False,False,1309219200,False
151,2011-06-29,11122,6,4,5,0,d_152,0,0,0,0,0,0,0,25,28,180,False,False,False,False,False,False,1309305600,False
152,2011-06-30,11122,4,5,5,0,d_153,0,0,0,0,0,0,0,25,29,181,True,False,True,False,False,False,1309392000,False
153,2011-07-01,11122,0,6,6,0,d_154,0,0,0,0,1,1,0,25,0,182,False,True,False,True,False,False,1309478400,False
154,2011-07-02,11123,2,0,6,0,d_155,0,0,0,0,1,0,1,25,1,183,False,False,False,False,False,False,1309564800,False
155,2011-07-03,11123,3,1,6,0,d_156,0,0,0,0,1,1,1,25,2,184,False,False,False,False,False,False,1309651200,False
156,2011-07-04,11123,1,2,6,0,d_157,10,2,0,0,1,0,0,26,3,185,False,False,False,False,False,False,1309737600,False
157,2011-07-05,11123,5,3,6,0,d_158,0,0,0,0,1,1,1,26,4,186,False,False,False,False,False,False,1309824000,False
158,2011-07-06,11123,6,4,6,0,d_159,0,0,0,0,1,1,1,26,5,187,False,False,False,False,False,False,1309910400,False
159,2011-07-07,11123,4,5,6,0,d_160,0,0,0,0,1,1,0,26,6,188,False,False,False,False,False,False,1309996800,False
160,2011-07-08,11123,0,6,6,0,d_161,0,0,0,0,1,0,1,26,7,189,False,False,False,False,False,False,1310083200,False
161,2011-07-09,11124,2,0,6,0,d_162,0,0,0,0,1,1,1,26,8,190,False,False,False,False,False,False,1310169600,False
162,2011-07-10,11124,3,1,6,0,d_163,0,0,0,0,1,0,0,26,9,191,False,False,False,False,False,False,1310256000,False
163,2011-07-11,11124,1,2,6,0,d_164,0,0,0,0,0,1,1,27,10,192,False,False,False,False,False,False,1310342400,False
164,2011-07-12,11124,5,3,6,0,d_165,0,0,0,0,0,1,1,27,11,193,False,False,False,False,False,False,1310428800,False
165,2011-07-13,11124,6,4,6,0,d_166,0,0,0,0,0,1,0,27,12,194,False,False,False,False,False,False,1310515200,False
166,2011-07-14,11124,4,5,6,0,d_167,0,0,0,0,0,0,1,27,13,195,False,False,False,False,False,False,1310601600,False
167,2011-07-15,11124,0,6,6,0,d_168,0,0,0,0,0,1,1,27,14,196,False,False,False,False,False,False,1310688000,False
168,2011-07-16,11125,2,0,6,0,d_169,0,0,0,0,0,0,0,27,15,197,False,False,False,False,False,False,1310774400,False
169,2011-07-17,11125,3,1,6,0,d_170,0,0,0,0,0,0,0,27,16,198,False,False,False,False,False,False,1310860800,False
170,2011-07-18,11125,1,2,6,0,d_171,0,0,0,0,0,0,0,28,17,199,False,False,False,False,False,False,1310947200,False
171,2011-07-19,11125,5,3,6,0,d_172,0,0,0,0,0,0,0,28,18,200,False,False,False,False,False,False,1311033600,False
172,2011-07-20,11125,6,4,6,0,d_173,0,0,0,0,0,0,0,28,19,201,False,False,False,False,False,False,1311120000,False
173,2011-07-21,11125,4,5,6,0,d_174,0,0,0,0,0,0,0,28,20,202,False,False,False,False,False,False,1311206400,False
174,2011-07-22,11125,0,6,6,0,d_175,0,0,0,0,0,0,0,28,21,203,False,False,False,False,False,False,1311292800,False
175,2011-07-23,11126,2,0,6,0,d_176,0,0,0,0,0,0,0,28,22,204,False,False,False,False,False,False,1311379200,False
176,2011-07-24,11126,3,1,6,0,d_177,0,0,0,0,0,0,0,28,23,205,False,False,False,False,False,False,1311465600,False
177,2011-07-25,11126,1,2,6,0,d_178,0,0,0,0,0,0,0,29,24,206,False,False,False,False,False,False,1311552000,False
178,2011-07-26,11126,5,3,6,0,d_179,0,0,0,0,0,0,0,29,25,207,False,False,False,False,False,False,1311638400,False
179,2011-07-27,11126,6,4,6,0,d_180,0,0,0,0,0,0,0,29,26,208,False,False,False,False,False,False,1311724800,False
180,2011-07-28,11126,4,5,6,0,d_181,0,0,0,0,0,0,0,29,27,209,False,False,False,False,False,False,1311811200,False
181,2011-07-29,11126,0,6,6,0,d_182,0,0,0,0,0,0,0,29,28,210,False,False,False,False,False,False,1311897600,False
182,2011-07-30,11127,2,0,6,0,d_183,0,0,0,0,0,0,0,29,29,211,False,False,False,False,False,False,1311984000,False
183,2011-07-31,11127,3,1,6,0,d_184,0,0,0,0,0,0,0,29,30,212,True,False,False,False,False,False,1312070400,False
184,2011-08-01,11127,1,2,7,0,d_185,25,3,0,0,1,1,0,30,0,213,False,True,False,False,False,False,1312156800,False
185,2011-08-02,11127,5,3,7,0,d_186,0,0,0,0,1,0,1,30,1,214,False,False,False,False,False,False,1312243200,False
186,2011-08-03,11127,6,4,7,0,d_187,0,0,0,0,1,1,1,30,2,215,False,False,False,False,False,False,1312329600,False
187,2011-08-04,11127,4,5,7,0,d_188,0,0,0,0,1,0,0,30,3,216,False,False,False,False,False,False,1312416000,False
188,2011-08-05,11127,0,6,7,0,d_189,0,0,0,0,1,1,1,30,4,217,False,False,False,False,False,False,1312502400,False
189,2011-08-06,11128,2,0,7,0,d_190,0,0,0,0,1,1,1,30,5,218,False,False,False,False,False,False,1312588800,False
190,2011-08-07,11128,3,1,7,0,d_191,0,0,0,0,1,1,0,30,6,219,False,False,False,False,False,False,1312675200,False
191,2011-08-08,11128,1,2,7,0,d_192,0,0,0,0,1,0,1,31,7,220,False,False,False,False,False,False,1312761600,False
192,2011-08-09,11128,5,3,7,0,d_193,0,0,0,0,1,1,1,31,8,221,False,False,False,False,False,False,1312848000,False
193,2011-08-10,11128,6,4,7,0,d_194,0,0,0,0,1,0,0,31,9,222,False,False,False,False,False,False,1312934400,False
194,2011-08-11,11128,4,5,7,0,d_195,0,0,0,0,0,1,1,31,10,223,False,False,False,False,False,False,1313020800,False
195,2011-08-12,11128,0,6,7,0,d_196,0,0,0,0,0,1,1,31,11,224,False,False,False,False,False,False,1313107200,False
196,2011-08-13,11129,2,0,7,0,d_197,0,0,0,0,0,1,0,31,12,225,False,False,False,False,False,False,1313193600,False
197,2011-08-14,11129,3,1,7,0,d_198,0,0,0,0,0,0,1,31,13,226,False,False,False,False,False,False,1313280000,False
198,2011-08-15,11129,1,2,7,0,d_199,0,0,0,0,0,1,1,32,14,227,False,False,False,False,False,False,1313366400,False
199,2011-08-16,11129,5,3,7,0,d_200,0,0,0,0,0,0,0,32,15,228,False,False,False,False,False,False,1313452800,False
200,2011-08-17,11129,6,4,7,0,d_201,0,0,0,0,0,0,0,32,16,229,False,False,False,False,False,False,1313539200,False
201,2011-08-18,11129,4,5,7,0,d_202,0,0,0,0,0,0,0,32,17,230,False,False,False,False,False,False,1313625600,False
202,2011-08-19,11129,0,6,7,0,d_203,0,0,0,0,0,0,0,32,18,231,False,False,False,False,False,False,1313712000,False
203,2011-08-20,11130,2,0,7,0,d_204,0,0,0,0,0,0,0,32,19,232,False,False,False,False,False,False,1313798400,False
204,2011-08-21,11130,3,1,7,0,d_205,0,0,0,0,0,0,0,32,20,233,False,False,False,False,False,False,1313884800,False
205,2011-08-22,11130,1,2,7,0,d_206,0,0,0,0,0,0,0,33,21,234,False,False,False,False,False,False,1313971200,False
206,2011-08-23,11130,5,3,7,0,d_207,0,0,0,0,0,0,0,33,22,235,False,False,False,False,False,False,1314057600,False
207,2011-08-24,11130,6,4,7,0,d_208,0,0,0,0,0,0,0,33,23,236,False,False,False,False,False,False,1314144000,False
208,2011-08-25,11130,4,5,7,0,d_209,0,0,0,0,0,0,0,33,24,237,False,False,False,False,False,False,1314230400,False
209,2011-08-26,11130,0,6,7,0,d_210,0,0,0,0,0,0,0,33,25,238,False,False,False,False,False,False,1314316800,False
210,2011-08-27,11131,2,0,7,0,d_211,0,0,0,0,0,0,0,33,26,239,False,False,False,False,False,False,1314403200,False
211,2011-08-28,11131,3,1,7,0,d_212,0,0,0,0,0,0,0,33,27,240,False,False,False,False,False,False,1314489600,False
212,2011-08-29,11131,1,2,7,0,d_213,0,0,0,0,0,0,0,34,28,241,False,False,False,False,False,False,1314576000,False
213,2011-08-30,11131,5,3,7,0,d_214,0,0,0,0,0,0,0,34,29,242,False,False,False,False,False,False,1314662400,False
214,2011-08-31,11131,6,4,7,0,d_215,6,3,0,0,0,0,0,34,30,243,True,False,False,False,False,False,1314748800,False
215,2011-09-01,11131,4,5,8,0,d_216,0,0,0,0,1,1,0,34,0,244,False,True,False,False,False,False,1314835200,False
216,2011-09-02,11131,0,6,8,0,d_217,0,0,0,0,1,0,1,34,1,245,False,False,False,False,False,False,1314921600,False
